,nurture_ethnicity,INS - Steroids NOT Tried,SSNS,Primary Steroid Resistance,Secondary Steroid Resistance,Partial Steroid Resistance
1,Asian or Asian British - Indian,2,11,4,0,0
2,Asian or Asian British - Pakistani,3,11,1,2,2
3,Black African,3,10,0,0,2
4,Black Caribbean,2,8,1,1,1
5,Other Asian Background,2,9,1,1,0
6,Other Ethnic Background,1,3,1,0,1
7,Other Mixed Background,1,2,0,0,0
8,Other White Background,2,3,1,0,0
9,White - British,42,179,36,7,17
10,Chinese,0,4,0,0,1
11,Asian or Asian British - Bangladeshi,0,2,1,0,0
12,Mixed - White and Black Caribbean,0,3,1,0,0
13,Other Black Background,0,1,1,0,0
14,White - Irish,0,1,0,0,0